latitud 	longitud	ondulacion
-0.285264	-78.520734	27.514
-0.199519	-78.47436	27.39
-0.221799	-78.532052	27.729
-0.204983	-78.451001	27.236
-0.251946	-78.548953	27.613
-0.294224	-78.460616	27.19
-0.31336	-78.432116	27.275
-0.313324	-78.443551	27.303
-0.306735	-78.440555	27.267
-0.30001	-78.465153	27.266
-0.305569	-78.427665	27.271
-0.301366	-78.421848	27.28
-0.296201	-78.431581	27.265
-0.275641	-78.448313	27.261
-0.301667	-78.487484	27.321
-0.302349	-78.48023	27.282
-0.317019	-78.488584	27.319
-0.324622	-78.48026	27.297
-0.35711	-78.486503	27.343
-0.358771	-78.480705	27.334
-0.326316	-78.458645	27.249
-0.312341	-78.459672	27.266
-0.301766	-78.452785	27.279
-0.356565	-78.459487	27.308
-0.323763	-78.473152	27.303
-0.323177	-78.466632	27.253
-0.171662	-78.439563	27.217
-0.192162	-78.451728	27.256
-0.196215	-78.445832	27.182
-0.224258	-78.499216	27.469
-0.22584	-78.492487	27.466
-0.193092	-78.490281	27.507
-0.195414	-78.484095	27.465
-0.157822	-78.499889	27.604
-0.186366	-78.517422	27.716
-0.188547	-78.510721	27.734
-0.218069	-78.52626	27.662
-0.21715	-78.519434	27.681
-0.193044	-78.475467	27.391
-0.198377	-78.467846	27.343
-0.163103	-78.465854	27.299
-0.163935	-78.458236	27.267
-0.219692	-78.512235	27.581
-0.221115	-78.506273	27.559
-0.192702	-78.496916	27.589
-0.158654	-78.494249	27.613
-0.158422	-78.487321	27.49
-0.249162	-78.484541	27.403
-0.251824	-78.47925	27.377
-0.230377	-78.476772	27.379
-0.236097	-78.472806	27.364
-0.20242	-78.463194	27.327
-0.165329	-78.450321	27.266
-0.240406	-78.468058	27.317
-0.20783	-78.457075	27.303
-0.168004	-78.444482	27.258
-0.297637	-78.578833	27.697
-0.296067	-78.572285	27.652
-0.28309	-78.573503	27.655
-0.290716	-78.559619	27.613
-0.293362	-78.565703	27.631
-0.282087	-78.569022	27.635
-0.316579	-78.466487	27.217
-0.285812	-78.454669	27.25
-0.256479	-78.442585	27.285
-0.226422	-78.444981	27.237
-0.24762	-78.454076	27.352
-0.250683	-78.446201	27.293
-0.281009	-78.466283	27.27
-0.280216	-78.460443	27.268
-0.307458	-78.499336	27.368
-0.276086	-78.48823	27.316
-0.247794	-78.477809	27.357
-0.215388	-78.507008	27.605
-0.308933	-78.493759	27.33
-0.276263	-78.481527	27.289
-0.278587	-78.473731	27.25
-0.246959	-78.469711	27.362
-0.249854	-78.464081	27.32
-0.224223	-78.45841	27.32
-0.228945	-78.451917	27.248
-0.219702	-78.497027	27.477
-0.221896	-78.487566	27.445
-0.24099	-78.496154	27.392
-0.25226	-78.508717	27.48
-0.305064	-78.52756	27.484
-0.303458	-78.521101	27.509
-0.303978	-78.511298	27.442
-0.305854	-78.507464	27.463
-0.272467	-78.503352	27.431
-0.274082	-78.495355	27.386
-0.239997	-78.48754	27.413
-0.242959	-78.482684	27.379
-0.227507	-78.48593	27.416
-0.239009	-78.479026	27.354
-0.26488	-78.572664	27.856
-0.267719	-78.567555	27.841
-0.240226	-78.554163	27.841
-0.244154	-78.55067	27.674
-0.219253	-78.53596	27.777
-0.206274	-78.527363	27.806
-0.207678	-78.522589	27.757
-0.226366	-78.528344	27.726
-0.207149	-78.482004	27.399
-0.210627	-78.476281	27.364
-0.225971	-78.487865	27.447
-0.227284	-78.482871	27.404
-0.236732	-78.490206	27.398
-0.236779	-78.484482	27.414
-0.238105	-78.540205	27.668
-0.282	-78.558365	27.616
-0.30217	-78.566599	27.647
-0.187854	-78.475302	27.384
-0.255892	-78.543905	27.626
-0.288568	-78.543356	27.533
-0.255828	-78.539724	27.604
-0.258269	-78.533759	27.582
-0.22648	-78.520397	27.672
-0.213168	-78.522315	27.726
-0.215674	-78.51637	27.684
-0.2047	-78.528936	27.722
-0.213788	-78.532963	27.463
-0.314254	-78.581099	27.717
-0.319313	-78.504069	27.367
-0.318276	-78.496042	27.341
-0.308658	-78.525495	27.507
-0.30729	-78.518015	27.501
-0.318187	-78.434984	27.295
-0.303276	-78.435374	27.245
-0.287856	-78.457453	27.167
-0.280389	-78.455277	27.255
-0.296201	-78.418407	27.31
-0.290091	-78.4277	27.275
-0.190883	-78.504456	27.622
-0.158692	-78.479815	27.421
-0.256234	-78.471523	27.305
-0.220131	-78.500108	27.496
-0.2517	-78.514024	27.525
-0.2818	-78.534485	27.52
-0.281094	-78.526719	27.511
-0.313856	-78.547617	27.541
-0.31462	-78.539589	27.557
-0.232922	-78.480399	27.391
-0.130431	-78.560654	27.641
-0.283164	-78.550224	27.562
-0.274698	-78.538801	27.552
-0.225381	-78.52607	27.714
-0.358771	-78.495226	27.347
-0.222588	-78.371172	27.263
-0.228524	-78.431106	27.275
-0.31109	-78.479125	27.31
-0.309374	-78.485581	27.336
-0.216337	-78.457682	27.282
-0.222564	-78.455956	27.279
-0.214507	-78.426864	27.158
-0.223454	-78.427524	27.215
-0.214785	-78.400618	27.196
-0.216051	-78.373954	27.235
-0.223095	-78.354801	27.384
-0.217637	-78.356041	27.364
-0.230476	-78.355715	27.423
-0.228204	-78.362929	27.381
-0.235146	-78.360715	27.419
-0.228577	-78.371476	27.323
-0.23655	-78.370261	27.319
-0.230603	-78.400524	27.202
-0.236425	-78.400688	27.045
